2017-12-04 14:39:11.513 INFO  DefaultFactory Logging to 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\' with level Info
2017-12-04 14:39:11.645 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 12 December 2017

2017-12-04 14:39:12.330 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-12-04 14:39:12.599 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-12-04 14:39:12.784 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'NT AUTHORITY\SYSTEM' to group 'Performance Monitor Users' because the user is already in group.
2017-12-04 14:39:12.831 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-04 14:39:12.831 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-04 14:39:12.846 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-04 14:39:12.846 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-04 14:39:12.846 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-04 14:39:12.846 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-04 14:39:12.846 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
