2017-12-05 12:41:37.443 INFO  DefaultFactory Logging to 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\' with level Info
2017-12-05 12:41:37.574 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 12 December 2017

2017-12-05 12:41:38.159 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-12-05 12:41:38.343 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-12-05 12:41:38.525 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'NT AUTHORITY\SYSTEM' to group 'Performance Monitor Users' because the user is already in group.
2017-12-05 12:41:38.560 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.560 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.575 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.591 WARN  NServiceBus.QueuePermissions Queue [private$\queue2.subscriber] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:38.591 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-05 12:41:38.591 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-05 12:41:38.591 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-05 12:41:38.706 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 12 December 2017

2017-12-05 12:41:39.206 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-12-05 12:41:39.206 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\Old Laptop\Drive_D\Lateetud\NServiceBus\Research.Lateetud.NServiceBus.Subscriber\Lateetud.NServiceBus.Subscriber\bin\Release\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-12-05 12:41:40.260 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'NT AUTHORITY\SYSTEM' to group 'Performance Monitor Users' because the user is already in group.
2017-12-05 12:41:40.276 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-12-05 12:41:40.276 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
